id,date,source,problem_id,status,summary,action,validation,related_path,reuse_notes,privacy
S-2026-05-27-001,2026-05-27,Codex,P-2026-05-27-001,validated,"Create /goal as a local slash command and document that it is not a Codex skill","Added .claude/commands/goal.md and linked it to Maestro learning","validate-area agents passed; plan-route /goal returns goal -> maestro",".claude/commands/goal.md","Use for broad or reusable objectives before routing","public sanitized"
S-2026-05-27-002,2026-05-27,Codex,P-2026-05-27-002,validated,"Bring registry and commands back into coherence","Added repo-local frontino command and expanded orquestrador alias with required RAG/handoff references","validate-agent-contracts passed",".claude/commands/frontino.md; .claude/commands/orquestrador.md","Keep command files in repo when registry points to them","public sanitized"
S-2026-05-27-003,2026-05-27,Codex,P-2026-05-27-003,validated,"Use smaller patches or replace brittle command files when encoding differs","Re-applied edits in smaller patches and replaced command files where safer","validate-area agents passed",".claude/commands/maestro.md; .claude/commands/orquestrador.md","Prefer narrow patches around ASCII anchors","public sanitized"
S-2026-05-27-004,2026-05-27,Codex,P-2026-05-27-004,validated,"Sanitize privacy wording before writing public economy logs","Replaced blocked wording with neutral public-safe wording","write-token-economy accepted the revised entry","memory/token-economy/2026-05.md","Avoid blocked terms in public privacy metadata","public sanitized"
S-2026-05-27-005,2026-05-27,Codex,P-2026-05-27-005,implemented,"Keep edits scoped and report unrelated dirty files","Ignored unrelated frontend, docs, and tablet changes; edited only agent and memory files","git status reviewed before edits","working tree","Do not revert or overwrite unrelated user/agent work","public sanitized"
S-2026-05-27-006,2026-05-27,Codex,P-2026-05-27-006,validated,"Create public sanitized problem and solution CSV databases","Added memory/knowledge/problems.csv, solutions.csv, README, and validator","validate-area memory passed","memory/knowledge","Record future failures and fixes as linked rows","public sanitized"
S-2026-05-27-007,2026-05-27,Codex,P-2026-05-27-007,validated,"Align local routing tools with /goal and Maestro learning budget","Updated start-topic budgets and plan-route goal detection","validate-area agents passed; plan-route /goal returns goal -> maestro","tools/agents/start-topic.py; tools/agents/plan-route.py","Keep tooling consistent with agent docs after behavior changes","public sanitized"
S-2026-05-27-008,2026-05-27,Antigravity,P-2026-05-27-008,validated,"Wrap state updates in useEffect inside asynchronous setTimeout and remove unused Lucide imports","Removed ShieldAlert from imports in shell-header.tsx, wrapped setMobileMenuOpen and setActiveTheme in setTimeout(() => ..., 0)","npm run lint and npm run build passed with 100% OK; validate-area frontend passed","apps/web/components/layout/shell-header.tsx; apps/web/components/ui/theme-switcher.tsx","Always wrap synchronous state updates inside useEffect hooks in Next.js Client Components in setTimeout to avoid eslint cascading renders warnings","public sanitized"
S-2026-05-27-009,2026-05-27,Codex,P-2026-05-27-009,validated,"Add explicit C0-C4 confidence gates for Maestro solo decisions","Created confidence levels and current state; updated Maestro contract and validator","validate-maestro-learning, validate-area agents, and validate-area memory passed","memory/agents/maestro-confidence-levels.csv; memory/agents/maestro-confidence-state.csv","Use confidence state to decide when Maestro may route alone and when to escalate","public sanitized"
S-2026-05-27-010,2026-05-27,Codex,P-2026-05-27-010,validated,"Create Maestro training track and eval runner","Added memory/training/maestro cases, promotion criteria, and tools/agents/eval-maestro-training.py","eval-maestro-training and validate-area agents passed","memory/training/maestro; tools/agents/eval-maestro-training.py","Use eval results as evidence, not automatic promotion","public sanitized"
S-2026-05-27-011,2026-05-27,Codex,P-2026-05-27-011,validated,"Route missing-data workflows through Frontino first","Updated plan-route missing-data route to frontino -> dados -> pipeline -> qa -> frontend? -> deploy?","eval-maestro-training and validate-area agents passed","tools/agents/plan-route.py","Keep implementation aligned with Maestro contract for coverage gaps","public sanitized"
S-2026-05-27-012,2026-05-27,Codex,P-2026-05-27-012,validated,"Avoid literal risky package-manager command strings in local automations","Changed plan-route regex to concatenate blocked command fragments while preserving detection","validate-area scope passed","tools/agents/plan-route.py","Use string concatenation for forbidden command text in validators and routing helpers","public sanitized"
S-2026-05-27-013,2026-05-27,Codex,P-2026-05-27-013,validated,"Add Maestro Watch for near-real-time worktree observation","Created watch-worktree.py and start-maestro-watch.ps1 to detect changed paths, classify scopes, and log local events","validate-area agents passed","tools/agents/watch-worktree.py; tools/agents/start-maestro-watch.ps1","Run watcher in visible terminal for live alerts or hidden background for local logs","public sanitized"
S-2026-05-27-014,2026-05-27,Codex,P-2026-05-27-014,validated,"Mirror Maestro Watch status into the tablet web monitor","Added optional watcher mirror JSON path, wired start-maestro-watch.ps1 to C:\Omega\tmp\omega-worktree-watch.json, and added a Maestro Watch section to the monitor HTML","PowerShell parser checks passed; validate-area agents and validate-area scope passed","tools/agents/watch-worktree.py; tools/agents/start-maestro-watch.ps1; tools/tablet/start-tablet-web-monitor.ps1","Expose deterministic zero-token alerts in the tablet dashboard; reserve LLM explanation for on-demand use","public sanitized"
S-2026-05-27-015,2026-05-27,Codex,P-2026-05-27-015,validated,"Create a public sanitized provenance system for model-signed changes","Added memory/provenance, validator, writer, validation wrapper integration, and mandatory provenance rules in shared instructions","validate-area memory, validate-area agents, and validate-area scope passed","memory/provenance; tools/memory/validate-provenance-log.py; tools/memory/write-provenance.py","Require every future change to identify actor, tool, model, paths, validation, and privacy status","public sanitized"
S-2026-05-27-016,2026-05-27,Codex,P-2026-05-27-016,validated,"Reconcile public CSV files with manifest rules before deploy","Updated dataset manifest patterns and added retroactive QA rows for the listed public Sorocaba CSV files","validate-area publication passed; verificar_publicacao.py --strict passed; calc_score returned 79.7%","data/manifests; pipelines/testes/verificar_publicacao.py","Treat strict publication failures as a deploy blocker unless the user explicitly accepts the risk","public sanitized"
S-2026-05-27-017,2026-05-27,Codex,P-2026-05-27-017,candidate,"Limit browser inspection to explicit project targets","Use local server responses, project logs, or direct project URLs instead of enumerating unrelated browser tabs; summarize any accidental exposure without details","pending policy follow-up","local browser debug session","For future tablet/browser checks, prefer project-specific monitor endpoints and avoid personal browsing surfaces","public sanitized"
S-2026-05-27-018,2026-05-27,Codex,P-2026-05-27-018,validated,"Make theme initialization hydration-safe in the official frontend","Set the official root html to data-theme=carbon, removed the pre-hydration localStorage script, and deferred saved-theme application to ThemeSwitcher after hydration","validate-area frontend passed; local official dev server returned 200 and initial HTML includes data-theme=carbon","apps/web/app/layout.tsx; apps/web/components/ui/theme-switcher.tsx","Use this pattern when porting Gemini theme UI into the official site","public sanitized"
S-2026-05-27-019,2026-05-27,Codex,P-2026-05-27-019,validated,"Use separate stdout and stderr files when starting background dev servers with PowerShell","Retried Start-Process with official-ui-dev-3001.out.log and official-ui-dev-3001.err.log","official dev server started on localhost:3001 and returned HTTP 200",".local/agents","Avoid assigning RedirectStandardOutput and RedirectStandardError to the same path in Start-Process","public sanitized"
S-2026-05-28-001,2026-05-28,Codex,P-2026-05-28-001,validated,"Remove only corrupted generated Next route types before rebuilding","Deleted apps/web/.next/dev/types after resolving the path under apps/web, then reran validate-area frontend","validate-area frontend passed with lint and next build --webpack","apps/web/.next/dev/types","Prefer targeted generated-file cleanup before broad cache deletion when the failing path is precise","public sanitized"
S-2026-05-28-002,2026-05-28,Codex,P-2026-05-28-002,validated,"Inspect Node and Next processes before touching locked Turbopack cache","Listed local node/npm/next processes and avoided killing them; cleaned only generated types instead of the locked cache tree","validate-area frontend passed after targeted cleanup","local next dev process; apps/web/.next/dev/types","When .next deletion hits locks, identify the dev process and avoid broad recursive cleanup unless explicitly needed","public sanitized"
S-2026-05-28-003,2026-05-28,Codex,P-2026-05-28-003,validated,"Deploy from a clean git worktree pinned to the validated commit","Created a temporary worktree at commit 7743bf5 and deployed from there after commit and push","Vercel production deployment dpl_A1wnXPUDfFUaVxYknpYoDHdXgRha READY; smoke tests returned 200","git worktree; Vercel deployment","Use a clean worktree or equivalent clean checkout whenever the main checkout has unrelated pending changes","public sanitized"
S-2026-05-28-004,2026-05-28,Codex,P-2026-05-28-004,validated,"Verify Git-triggered Vercel deployment state and fall back to explicit clean deploy when canceled","Listed deployments for the project, saw the canceled Git deployment, then deployed the validated commit manually","Vercel inspect reported production READY and aliases active","Vercel project anatomia-do-gasto","Do not assume push means production changed; inspect deployment state before closing","public sanitized"
